name,price,critic_score,user_score,length,genres,num_of_achievements
Dark Souls: Remastered,150,84,83,44,11,41
Dark Souls III,200,89,90,49,11,43
Terraria,46,81,81,102,9,115
Baldur's Gate 3,250,96,89,107,8,54
Dave the Diver,92,90,83,32,7,43
Rust,153,69,65,37,10,92
Hollow Knight,68,90,91,42,10,63
Portal 2,46,95,89,14,7,51
Vampire Survivors,20,86,83,25,9,204
Hades,115,93,88,49,9,49
Subnautica,139,87,86,43,5,17
Dishonored,45,88,83,18,8,80
Ori and the Will of the Wisps,108,90,89,16,10,37
Inside,72,93,83,4,6,14
The Forest,72,83,75,28,9,45
Skyrim,90,96,86,114,11,75
Teardown,120,80,81,22,6,27
Dying Light,90,74,81,36,5,78
Enter the Gungeon,68,82,80,62,4,54
Payday 3,169,66,31,10,5,22
Kao the Kangaroo,129,65,75,8,8,26
Assassin's Creed Unity,120,72,56,35,11,57
Trials Fusion,80,79,71,23,2,51
The Sims 3,28,83,78,78,3,65
Titan Souls,68,74,61,4,8,27
